comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000247572.10	CKMT2-AS1	4	4	6	ENST00000500148.6;ENST00000501927.2;ENST00000511495.1;ENST00000656836.1;ENST00000663674.1;ENST00000793747.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000011021.24	CLCN6	4	4	5	ENST00000312413.10;ENST00000346436.11;ENST00000376496.4;ENST00000910827.1;ENST00000918075.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000130779.23	CLIP1	4	4	21	ENST00000302528.11;ENST00000358808.6;ENST00000361654.8;ENST00000537178.5;ENST00000620786.5;ENST00000761514.1;ENST00000859888.1;ENST00000859889.1;ENST00000859890.1;ENST00000859891.1;ENST00000859892.1;ENST00000971569.1;ENST00000971570.1;ENST00000971571.1;ENST00000971572.1;ENST00000971573.1;ENST00000971574.1;ENST00000971575.1;ENST00000971576.1;ENST00000971577.1;ENST00000971578.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000162129.16	CLPB	4	4	15	ENST00000294053.9;ENST00000340729.9;ENST00000538039.6;ENST00000543042.6;ENST00000646117.1;ENST00000866362.1;ENST00000866363.1;ENST00000866364.1;ENST00000938927.1;ENST00000955683.1;ENST00000955684.1;ENST00000955685.1;ENST00000955686.1;ENST00000955687.1;ENST00000955688.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000153721.20	CNKSR3	4	4	7	ENST00000479339.5;ENST00000607772.6;ENST00000673182.1;ENST00000904025.1;ENST00000904026.1;ENST00000904027.1;ENST00000950871.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000125107.20	CNOT1	4	4	8	ENST00000317147.10;ENST00000441024.6;ENST00000569240.5;ENST00000880845.1;ENST00000938267.1;ENST00000938268.1;ENST00000938269.1;ENST00000938270.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000182973.21	CNOT10	4	4	33	ENST00000328834.10;ENST00000331889.10;ENST00000454516.7;ENST00000866038.1;ENST00000866039.1;ENST00000866040.1;ENST00000866041.1;ENST00000866042.1;ENST00000866043.1;ENST00000866044.1;ENST00000866045.1;ENST00000866046.1;ENST00000866047.1;ENST00000866048.1;ENST00000866049.1;ENST00000866050.1;ENST00000866051.1;ENST00000933338.1;ENST00000933339.1;ENST00000933340.1;ENST00000933341.1;ENST00000933342.1;ENST00000933343.1;ENST00000933344.1;ENST00000933345.1;ENST00000933346.1;ENST00000969495.1;ENST00000969496.1;ENST00000969497.1;ENST00000969498.1;ENST00000969499.1;ENST00000969500.1;ENST00000969501.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000133103.19	COG6	4	4	11	ENST00000416691.6;ENST00000455146.8;ENST00000866285.1;ENST00000866286.1;ENST00000866287.1;ENST00000866288.1;ENST00000919967.1;ENST00000950571.1;ENST00000950572.1;ENST00000950573.1;ENST00000950574.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000168434.14	COG7	4	4	12	ENST00000307149.10;ENST00000887421.1;ENST00000887422.1;ENST00000887423.1;ENST00000887424.1;ENST00000887425.1;ENST00000916650.1;ENST00000916651.1;ENST00000941094.1;ENST00000941095.1;ENST00000941096.1;ENST00000941097.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000248932.9	COPB2-DT	4	4	6	ENST00000510068.5;ENST00000658348.1;ENST00000660194.1;ENST00000662234.1;ENST00000731089.1;ENST00000731090.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000158623.14	COPG2	4	4	2	ENST00000330992.8;ENST00000425248.5
