file_accession	experiment_accession	file_format	output_type	assembly	biological_replicates	technical_replicates	download_url
ENCFF120AAW	ENCSR828ZID	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF120AAW/@@download/ENCFF120AAW.fastq.gz
ENCFF924WZQ	ENCSR828ZID	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF924WZQ/@@download/ENCFF924WZQ.fastq.gz
ENCFF570EJV	ENCSR953ZOA	bam	alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF570EJV/@@download/ENCFF570EJV.bam
ENCFF704FID	ENCSR953ZOA	bam	alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF704FID/@@download/ENCFF704FID.bam
ENCFF559GBT	ENCSR953ZOA	bigWig	minus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF559GBT/@@download/ENCFF559GBT.bigWig
ENCFF961MIZ	ENCSR953ZOA	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF961MIZ/@@download/ENCFF961MIZ.bigWig
ENCFF148QBJ	ENCSR953ZOA	bigBed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF148QBJ/@@download/ENCFF148QBJ.bigBed
ENCFF318RSO	ENCSR953ZOA	bed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF318RSO/@@download/ENCFF318RSO.bed.gz
ENCFF433CVR	ENCSR953ZOA	bigBed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF433CVR/@@download/ENCFF433CVR.bigBed
ENCFF461FMC	ENCSR953ZOA	bigBed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF461FMC/@@download/ENCFF461FMC.bigBed
ENCFF679HYT	ENCSR953ZOA	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF679HYT/@@download/ENCFF679HYT.bed.gz
ENCFF969JDI	ENCSR953ZOA	bed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF969JDI/@@download/ENCFF969JDI.bed.gz
ENCFF102VWD	ENCSR953ZOA	bigWig	plus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF102VWD/@@download/ENCFF102VWD.bigWig
ENCFF988TCR	ENCSR953ZOA	bigWig	plus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF988TCR/@@download/ENCFF988TCR.bigWig
ENCFF244ZIB	ENCSR953ZOA	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF244ZIB/@@download/ENCFF244ZIB.fastq.gz
ENCFF935EPG	ENCSR953ZOA	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF935EPG/@@download/ENCFF935EPG.fastq.gz
ENCFF210SBQ	ENCSR953ZOA	tsv	transcript quantifications	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF210SBQ/@@download/ENCFF210SBQ.tsv
ENCFF276CHG	ENCSR953ZOA	tsv	transcript quantifications	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF276CHG/@@download/ENCFF276CHG.tsv
ENCFF826OYP	ENCSR953ZOA	bam	unfiltered alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF826OYP/@@download/ENCFF826OYP.bam
ENCFF827GTT	ENCSR953ZOA	bam	unfiltered alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF827GTT/@@download/ENCFF827GTT.bam
